Stock Name,Code,Date,Price,Open,High,Low,Volume,Change%
Ayala Corp Pref B,ACPB2,"Apr 18, 2018",503,503.5,503.5,503,4.00K,-3.27%
Ayala Corp Pref B,ACPB2,"Apr 16, 2018",520,511,520,503,19.54K,3.38%
Ayala Corp Pref B,ACPB2,"Apr 13, 2018",503,503,503,503,0.01K,0.60%
Ayala Corp Pref B,ACPB2,"Apr 12, 2018",500,511,511,500,8.01K,-1.96%
Ayala Corp Pref B,ACPB2,"Apr 11, 2018",510,510,510,510,0.06K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 10, 2018",510,510,510,510,0.32K,-0.20%
Ayala Corp Pref B,ACPB2,"Apr 06, 2018",511,512,512,511,2.40K,1.79%
Ayala Corp Pref B,ACPB2,"Apr 05, 2018",502,510,512,502,2.13K,-1.95%
Ayala Corp Pref B,ACPB2,"Apr 04, 2018",512,512,512,512,0.04K,-0.58%
Ayala Corp Pref B,ACPB2,"Apr 03, 2018",515,522,522,515,0.59K,0.00%
Ayala Corp Pref B,ACPB2,"Apr 02, 2018",515,520,520,515,2.15K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 28, 2018",515,515,515,515,0.45K,0.59%
Ayala Corp Pref B,ACPB2,"Mar 27, 2018",512,512,512,512,17.10K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 23, 2018",512,522,522,511,3.01K,0.20%
Ayala Corp Pref B,ACPB2,"Mar 22, 2018",511,511,511,511,2.00K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 20, 2018",511,512,512,511,20.10K,-0.58%
Ayala Corp Pref B,ACPB2,"Mar 19, 2018",514,514,514,512,7.27K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 16, 2018",514,515,515,514,3.96K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 14, 2018",514,514,514,514,0.10K,-2.10%
Ayala Corp Pref B,ACPB2,"Mar 12, 2018",525,514.5,525,514.5,16.13K,2.14%
Ayala Corp Pref B,ACPB2,"Mar 09, 2018",514,514,514,514,0.05K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 08, 2018",514,514,514,514,0.10K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 07, 2018",514,518,518,514,2.61K,-0.77%
Ayala Corp Pref B,ACPB2,"Mar 06, 2018",518,518,518,518,0.03K,0.78%
Ayala Corp Pref B,ACPB2,"Mar 05, 2018",514,514,514,514,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Mar 02, 2018",514,514,514,514,0.05K,0.00%
